xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
393216          0.01            70710.14        1.00           
393216          0.01            70722.41        1.00           
393216          0.01            70742.21        1.00           
393216          0.01            70726.83        1.00           
393216          0.01            70706.23        1.00           
393216          0.01            70705.79        1.00           
393216          0.01            70720.34        1.00           
524288          0.01            69075.01        1.02           
524288          0.01            69063.56        1.00           
524288          0.01            69072.51        1.00           
524288          0.01            69071.14        1.00           
524288          0.01            69071.54        1.00           
524288          0.01            69054.71        1.00           
524288          0.01            69073.68        1.00           
524288          0.01            69067.99        1.00           
524288          0.01            69076.15        1.00           
524288          0.01            69070.02        1.00           
786432          0.01            68581.37        1.01           
786432          0.01            68568.43        1.00           
786432          0.01            68575.06        1.00           
786432          0.01            68573.00        1.00           
786432          0.01            68575.52        1.00           
786432          0.01            68581.58        1.00           
786432          0.01            68579.02        1.00           
786432          0.01            68561.25        1.00           
786432          0.01            68582.61        1.00           
786432          0.01            68568.23        1.00           
1048576         0.01            68487.54        1.00           
1048576         0.01            68489.71        1.00           
1048576         0.01            68511.85        1.00           
1048576         0.01            68486.78        1.00           
1048576         0.01            68489.93        1.00           
1048576         0.01            68484.01        1.00           
1048576         0.01            68492.77        1.00           
1048576         0.01            68501.40        1.00           
1048576         0.01            68499.18        1.00           
1048576         0.01            68455.18        1.00           
1572864         0.01            67960.20        1.01           
1572864         0.01            67951.76        1.00           
1572864         0.01            67953.57        1.00           
1572864         0.01            67981.85        1.00           
1572864         0.01            68011.12        1.00           
1572864         0.01            67990.44        1.00           
1572864         0.01            67992.89        1.00           
1572864         0.01            67971.87        1.00           
1572864         0.01            67969.87        1.00           
1572864         0.01            67955.00        1.00           
2097152         0.01            67729.90        1.00           
2097152         0.01            67666.93        1.00           
2097152         0.01            67715.86        1.00           
2097152         0.01            67731.27        1.00           
2097152         0.01            67726.96        1.00           
2097152         0.01            67724.34        1.00           
2097152         0.01            67726.03        1.00           
2097152         0.01            67727.12        1.00           
2097152         0.01            67732.96        1.00           
2097152         0.01            67716.18        1.00           
3145728         0.01            67546.79        1.00           
3145728         0.01            67519.21        1.00           
3145728         0.01            67517.06        1.00           
3145728         0.01            67438.02        1.00           
3145728         0.01            67514.98        1.00           
3145728         0.01            67515.46        1.00           
3145728         0.01            67523.91        1.00           
3145728         0.01            67534.16        1.00           
3145728         0.01            67511.31        1.00           
3145728         0.01            67526.00        1.00           
4194304         0.02            57667.70        1.17           
4194304         0.02            57668.06        1.00           
4194304         0.02            57713.44        1.00           
4194304         0.02            57612.01        1.00           
4194304         0.02            57724.12        1.00           
4194304         0.02            57627.51        1.00           
4194304         0.02            57737.20        1.00           
4194304         0.02            57714.34        1.00           
4194304         0.02            57740.34        1.00           
4194304         0.02            57727.85        1.00           
6291456         0.03            31738.33        1.82           
6291456         0.03            31718.70        1.00           
6291456         0.03            31726.35        1.00           
6291456         0.03            31718.11        1.00           
6291456         0.03            31729.69        1.00           
6291456         0.03            31715.96        1.00           
6291456         0.03            31744.18        1.00           
6291456         0.03            31667.78        1.00           
6291456         0.03            31718.02        1.00           
6291456         0.03            31738.46        1.00           
8388608         0.02            47088.54        0.67           
8388608         0.02            47080.07        1.00           
8388608         0.02            47032.17        1.00           
8388608         0.02            47126.57        1.00           
8388608         0.02            47076.11        1.00           
8388608         0.02            47117.03        1.00           
8388608         0.02            47083.83        1.00           
8388608         0.02            47047.16        1.00           
8388608         0.02            47063.17        1.00           
8388608         0.02            46967.48        1.00           
12582912        0.03            31433.51        1.49           
12582912        0.03            31436.91        1.00           
12582912        0.03            31455.40        1.00           
12582912        0.03            31434.83        1.00           
12582912        0.03            31437.58        1.00           
12582912        0.03            31444.99        1.00           
12582912        0.03            31437.45        1.00           
12582912        0.03            31424.78        1.00           
12582912        0.03            31452.83        1.00           
12582912        0.03            31424.53        1.00           
16777216        0.03            32062.99        0.98           
16777216        0.03            32074.00        1.00           
16777216        0.03            32128.79        1.00           
16777216        0.03            32076.13        1.00           
16777216        0.03            32067.49        1.00           
16777216        0.03            32124.36        1.00           
16777216        0.03            32118.58        1.00           
16777216        0.03            32060.26        1.00           
16777216        0.03            32069.96        1.00           
16777216        0.03            32127.66        1.00           

                double Read Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             1.82            4198.79         1.00           
256             1.82            4198.78         1.00           
256             1.82            4198.78         1.00           
256             1.82            4198.30         1.00           
256             1.82            4198.83         1.00           
256             1.82            4198.76         1.00           
256             1.82            4198.80         1.00           
256             1.82            4198.75         1.00           
256             1.82            4198.85         1.00           
256             1.82            4198.78         1.00           
384             1.82            4198.77         1.00           
384             1.82            4198.73         1.00           
384             1.82            4198.74         1.00           
384             1.82            4198.76         1.00           
384             1.82            4198.77         1.00           
384             1.82            4198.66         1.00           
384             1.82            4198.75         1.00           
384             1.82            4198.72         1.00           
384             1.82            4198.75         1.00           
384             1.82            4198.76         1.00           
512             1.82            4198.73         1.00           
512             1.82            4198.71         1.00           
512             1.82            4198.77         1.00           
512             1.82            4198.72         1.00           
512             1.82            4198.64         1.00           
512             1.82            4198.65         1.00           
512             1.82            4198.70         1.00           
512             1.82            4198.62         1.00           
512             1.82            4198.68         1.00           
512             1.82            4198.66         1.00           
768             1.82            4198.65         1.00           
768             1.82            4198.65         1.00           
768             1.82            4198.62         1.00           
768             1.82            4198.62         1.00           
768             1.82            4198.63         1.00           
768             1.82            4198.63         1.00           
768             1.82            4198.63         1.00           
768             1.82            4198.66         1.00           
768             1.82            4198.66         1.00           
768             1.82            4198.55         1.00           
1024            1.82            4198.60         1.00           
1024            1.82            4198.52         1.00           
1024            1.82            4198.64         1.00           
1024            1.82            4198.61         1.00           
1024            1.82            4198.61         1.00           
1024            1.82            4198.57         1.00           
1024            1.82            4198.57         1.00           
1024            1.82            4198.65         1.00           
1024            1.82            4198.58         1.00           
1024            1.82            4198.55         1.00           
1536            1.82            4198.42         1.00           
1536            1.82            4198.38         1.00           
1536            1.82            4198.47         1.00           
1536            1.82            4198.43         1.00           
1536            1.82            4198.29         1.00           
1536            1.82            4198.49         1.00           
1536            1.82            4198.50         1.00           
1536            1.82            4198.45         1.00           
1536            1.82            4198.44         1.00           
1536            1.82            4198.47         1.00           
2048            1.82            4198.40         1.00           
2048            1.82            4198.34         1.00           
2048            1.82            4198.35         1.00           
2048            1.82            4198.22         1.00           
2048            1.82            4198.19         1.00           
2048            1.82            4198.32         1.00           
2048            1.82            4198.32         1.00           
2048            1.82            4197.98         1.00           
2048            1.82            4198.39         1.00           
2048            1.82            4198.34         1.00           
3072            1.82            4198.07         1.00           
3072            1.82            4198.09         1.00           
3072            1.82            4197.75         1.00           
3072            1.82            4198.11         1.00           
3072            1.82            4198.13         1.00           
3072            1.82            4197.97         1.00           
3072            1.82            4198.16         1.00           
3072            1.82            4198.15         1.00           
3072            1.82            4197.94         1.00           
3072            1.82            4198.10         1.00           
4096            1.82            4197.98         1.00           
4096            1.82            4197.86         1.00           
4096            1.82            4197.97         1.00           
4096            1.82            4197.85         1.00           
4096            1.82            4197.86         1.00           
4096            1.82            4197.81         1.00           
4096            1.82            4197.90         1.00           
4096            1.82            4197.70         1.00           
4096            1.82            4197.87         1.00           
4096            1.82            4197.82         1.00           
6144            1.82            4197.48         1.00           
6144            1.82            4197.41         1.00           
6144            1.82            4197.37         1.00           
6144            1.82            4197.41         1.00           
6144            1.82            4197.47         1.00           
6144            1.82            4197.48         1.00           
6144            1.82            4197.44         1.00           
6144            1.82            4197.44         1.00           
6144            1.82            4197.41         1.00           
6144            1.82            4197.15         1.00           
8192            1.82            4197.10         1.00           
8192            1.82            4197.06         1.00           
8192            1.82            4197.09         1.00           
8192            1.82            4197.10         1.00           
8192            1.82            4197.18         1.00           
8192            1.82            4197.08         1.00           
8192            1.82            4197.16         1.00           
8192            1.82            4197.12         1.00           
8192            1.82            4197.04         1.00           
8192            1.82            4197.10         1.00           
12288           1.82            4196.40         1.00           
12288           1.82            4196.04         1.00           
12288           1.82            4196.30         1.00           
12288           1.82            4196.30         1.00           
12288           1.82            4196.23         1.00           
12288           1.82            4196.31         1.00           
